Team,3/19,3/27,3/28,3/29,3/30,3/31,4/1,4/2,4/3,4/4,4/5,4/6,4/7,4/8,4/9,4/10,4/11,4/12,4/13,4/14,4/15,4/16,4/17,4/18,4/19,4/20,4/21,4/22,4/23,4/24,4/25,4/26,4/27,4/28,4/29,4/30,5/1,5/2,5/3,5/4,5/5,5/6,5/7,5/8,5/9,5/10,5/11,5/12,5/13,5/14,5/15,5/16,5/17,5/18,5/19,5/20,5/21,5/22,5/23,5/24,5/25,5/26,5/27,5/28,5/29
Awein,0,1,3,4,5,7,10,10,11,14,16,17,19,22,22,22,23,24,24,26,29,30,30,30,32,33,34,35,37,38,39,40,40,42,46,48,49,52,53,53,53,55,56,56,57,57,58,61,63,67,69,71,72,72,74,75,75,77,77,79,79,80,84,85,87
Best Undrafted,0,3,3,3,3,3,3,5,5,7,9,10,10,10,10,10,13,13,13,15,15,15,16,16,17,17,17,18,18,20,22,25,26,26,29,30,32,33,33,33,33,34,35,36,36,36,39,40,44,44,44,46,47,49,49,51,54,55,56,56,56,58,60,60,61
Biscuits,0,1,1,1,1,4,5,6,6,7,7,8,8,8,10,10,13,14,17,19,23,27,30,31,32,34,36,36,36,36,36,36,37,37,38,39,39,42,43,46,48,48,48,48,48,48,49,50,51,52,52,53,55,55,55,56,58,58,59,59,60,61,64,64,65
Busty,0,0,0,1,2,4,5,5,5,6,7,8,8,10,10,14,16,18,18,18,21,21,21,22,23,25,25,25,26,27,27,28,29,29,30,32,32,32,33,33,34,36,36,37,37,41,41,42,43,43,44,44,46,47,47,49,50,51,52,53,54,55,58,58,58
CPT,0,4,4,5,5,6,7,8,8,11,11,14,14,15,19,19,19,21,21,21,23,23,24,25,27,28,28,28,30,30,30,32,34,34,35,36,36,36,37,38,40,40,41,42,42,44,45,47,49,49,50,51,53,56,58,60,61,61,63,63,63,63,64,64,64
Derp,0,2,4,9,12,13,16,16,17,18,22,24,24,26,30,32,32,34,38,39,39,41,41,43,44,44,44,46,46,46,46,52,53,53,54,56,60,60,63,64,64,66,67,68,71,74,75,76,77,80,82,82,85,86,87,89,91,92,98,99,100,101,101,102,102
Free Agents,0,7,7,8,10,11,14,16,18,20,23,25,25,26,29,30,32,34,34,36,37,38,38,39,42,44,48,51,51,52,54,56,57,57,64,66,67,68,70,71,73,73,74,74,75,77,79,82,83,87,87,90,92,93,94,96,98,103,104,104,105,105,107,108,108
KJack,1,3,3,3,6,9,10,12,12,13,15,15,16,19,19,19,20,21,22,24,24,25,27,28,30,32,34,35,36,37,38,38,38,38,42,43,45,47,51,54,56,58,59,60,63,65,68,69,71,72,76,77,78,79,80,80,85,85,86,86,88,89,90,91,91
Larry,0,6,9,10,11,12,12,13,13,16,17,20,23,25,27,27,28,30,31,35,38,42,45,47,49,51,51,51,53,54,54,58,59,61,65,66,66,66,67,70,71,72,75,76,77,80,82,84,86,88,88,88,88,89,89,90,92,92,94,96,97,97,98,101,102
Mazz,0,2,3,5,8,9,10,12,13,14,18,18,18,18,20,22,24,25,30,31,31,32,35,35,39,39,40,44,45,45,46,46,46,46,47,49,50,52,54,54,54,54,56,56,57,58,61,61,63,65,65,66,66,68,68,69,71,72,75,77,77,77,77,78,78
Mispy,0,2,2,5,6,7,8,8,10,12,13,14,14,16,17,18,19,20,20,20,21,21,21,23,23,23,24,25,26,26,26,27,27,27,28,30,31,34,35,36,37,39,40,41,47,47,49,50,50,54,54,54,55,56,58,59,63,63,65,66,67,67,69,69,71
Moz,0,0,0,0,0,2,3,4,5,6,6,9,9,9,10,10,10,10,11,12,13,14,17,17,19,21,21,24,26,27,27,28,28,29,30,31,31,33,33,33,34,36,38,38,39,40,41,42,43,45,45,47,48,50,51,52,55,56,56,58,59,61,64,64,64
Senot,0,0,1,2,4,7,9,12,12,13,13,15,15,15,16,16,17,19,20,22,24,24,25,27,30,32,32,32,33,33,33,35,35,38,40,41,45,49,49,50,50,50,53,53,56,59,60,61,61,63,63,64,65,67,67,69,70,70,72,73,74,75,75,77,78
